locs,techs,timesteps,required_resource
DRC_S,final_demand,2040-01-17 17:00:00,-2066280.125
DRC_S,final_demand,2040-01-17 18:00:00,-2295342.036
DRC_S,final_demand,2040-01-17 19:00:00,-2326041.055
DRC_S,final_demand,2040-01-17 20:00:00,-2297703.499
DRC_S,final_demand,2040-01-17 21:00:00,-2231582.535
DRC_S,final_demand,2040-01-17 22:00:00,-2118232.311
DRC_S,final_demand,2040-01-17 23:00:00,-2021412.328
DRC_S,final_demand,2040-01-18 00:00:00,-1726229.453
DRC_S,final_demand,2040-01-18 01:00:00,-1693168.971
DRC_S,final_demand,2040-01-18 02:00:00,-1662469.952
DRC_S,final_demand,2040-01-18 03:00:00,-1650662.637
DRC_S,final_demand,2040-01-18 04:00:00,-1690807.508
DRC_S,final_demand,2040-01-18 05:00:00,-1740398.231
DRC_S,final_demand,2040-01-18 06:00:00,-1669554.341
DRC_S,final_demand,2040-01-18 07:00:00,-1759289.935
DRC_S,final_demand,2040-01-18 08:00:00,-1856109.918
DRC_S,final_demand,2040-01-18 09:00:00,-1922230.882
DRC_S,final_demand,2040-01-18 10:00:00,-1938761.123
DRC_S,final_demand,2040-01-18 11:00:00,-1952929.901
DRC_S,final_demand,2040-01-18 12:00:00,-1971821.605
DRC_S,final_demand,2040-01-18 13:00:00,-1993074.772
DRC_S,final_demand,2040-01-18 14:00:00,-2014327.939
DRC_S,final_demand,2040-01-18 15:00:00,-2035581.106
DRC_S,final_demand,2040-01-18 16:00:00,-1993074.772
DRC_S,final_demand,2040-01-18 17:00:00,-1981267.457
DRC_S,final_demand,2040-01-18 18:00:00,-2163100.108
DRC_S,final_demand,2040-01-18 19:00:00,-2167823.034
DRC_S,final_demand,2040-01-18 20:00:00,-2132401.089
DRC_S,final_demand,2040-01-18 21:00:00,-2063918.662
DRC_S,final_demand,2040-01-18 22:00:00,-1952929.901
DRC_S,final_demand,2040-01-18 23:00:00,-1867917.233
DRC_S,final_demand,2040-01-19 00:00:00,-1728590.916
DRC_S,final_demand,2040-01-19 01:00:00,-1688446.045
DRC_S,final_demand,2040-01-19 02:00:00,-1653024.1
DRC_S,final_demand,2040-01-19 03:00:00,-1636493.859
DRC_S,final_demand,2040-01-19 04:00:00,-1679000.193
DRC_S,final_demand,2040-01-19 05:00:00,-1730952.379
DRC_S,final_demand,2040-01-19 06:00:00,-1664831.415
DRC_S,final_demand,2040-01-19 07:00:00,-1745121.157
DRC_S,final_demand,2040-01-19 08:00:00,-1834856.751
DRC_S,final_demand,2040-01-19 09:00:00,-1900977.715
DRC_S,final_demand,2040-01-19 10:00:00,-1943484.049
DRC_S,final_demand,2040-01-19 11:00:00,-1962375.753
DRC_S,final_demand,2040-01-19 12:00:00,-1981267.457
DRC_S,final_demand,2040-01-19 13:00:00,-2014327.939
DRC_S,final_demand,2040-01-19 14:00:00,-2045026.958
DRC_S,final_demand,2040-01-19 15:00:00,-2075725.977
